"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"PURCHASE-URL";
"JP11";"";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";
"JP12";"";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";
"R1";"10k";"RESISTORARRAY-0603";"RESISTORARRAY-0603";"Res Thick Film Array 100 Ohm 5% ?200ppm/C ISOL Epoxy 8-Pin 1206(4 X 0603) Convex SMD T/R Check availability";"In Stock";" 330 Ohm ±5% 62.5mW Power Per Element Isolated 4 Resistor Network/Array ±200ppm/°C 1206 (3216 Metric), Convex, Long Side Terminals ";"Yageo";"YC164-JR-07330RL";"";"";"";"1206 Yageo";"None";"https://pricing.snapeda.com/search/part/YC164-JR-07330RL/?ref=eda";
"R2";"4k7";"RESISTORARRAY-0603";"RESISTORARRAY-0603";"Res Thick Film Array 100 Ohm 5% ?200ppm/C ISOL Epoxy 8-Pin 1206(4 X 0603) Convex SMD T/R Check availability";"In Stock";" 330 Ohm ±5% 62.5mW Power Per Element Isolated 4 Resistor Network/Array ±200ppm/°C 1206 (3216 Metric), Convex, Long Side Terminals ";"Yageo";"YC164-JR-07330RL";"";"";"";"1206 Yageo";"None";"https://pricing.snapeda.com/search/part/YC164-JR-07330RL/?ref=eda";
"R3";"10k";"RESISTOR-SMD-1206";"R1206W";"Resistor 1/4W H wide fit";"";"";"";"";"";"";"";"";"";"";
"R5";"10k";"RESISTOR-SMD-1206";"R1206W";"Resistor 1/4W H wide fit";"";"";"";"";"";"";"";"";"";"";
"R6";"4k7";"RESISTORARRAY-0603";"RESISTORARRAY-0603";"Res Thick Film Array 100 Ohm 5% ?200ppm/C ISOL Epoxy 8-Pin 1206(4 X 0603) Convex SMD T/R Check availability";"In Stock";" 330 Ohm ±5% 62.5mW Power Per Element Isolated 4 Resistor Network/Array ±200ppm/°C 1206 (3216 Metric), Convex, Long Side Terminals ";"Yageo";"YC164-JR-07330RL";"";"";"";"1206 Yageo";"None";"https://pricing.snapeda.com/search/part/YC164-JR-07330RL/?ref=eda";
"U$9";"JST-XH-5";"JST-XH-5";"B5B-XH-A";"";"";"";"";"";"";"";"";"";"";"";
"U1";"A4988";"A4988";"A4988";"Stepper motor controler; IC: A4988; 1A; Uin mot: 8÷35V Check availability";"Not in stock";" Stepper Motor Driver ";"Pololu";"A4988 STEPPER MOTOR DRIVER CARRIER";"";"";"";"None";"None";"";
"X1";"";"TERMINAL-5MM-2POLE";"W237-132";"WAGO SREW CLAMP";"";"";"";"";"";"unknown";"unknown";"";"";"";
"X2";"TERMINAL_2P_3,5MM_V2";"TERMINAL_2P_3,5MM_V2";"TERMINAL_2P_3,5MM_V2";"MKDS 1/ 2-3,5 Printklemme";"";"";"";"";"";"unknown";"unknown";"";"";"";
"X3";"TERMINAL_2P_3,5MM_V2";"TERMINAL_2P_3,5MM_V2";"TERMINAL_2P_3,5MM_V2";"MKDS 1/ 2-3,5 Printklemme";"";"";"";"";"";"unknown";"unknown";"";"";"";
"X4";"TERMINAL_2P_3,5MM_V2";"TERMINAL_2P_3,5MM_V2";"TERMINAL_2P_3,5MM_V2";"MKDS 1/ 2-3,5 Printklemme";"";"";"";"";"";"unknown";"unknown";"";"";"";
"X5";"TERMINAL_2P_3,5MM_V2";"TERMINAL_2P_3,5MM_V2";"TERMINAL_2P_3,5MM_V2";"MKDS 1/ 2-3,5 Printklemme";"";"";"";"";"";"unknown";"unknown";"";"";"";
"X6";"TERMINAL_2P_3,5MM_V2";"TERMINAL_2P_3,5MM_V2";"TERMINAL_2P_3,5MM_V2";"MKDS 1/ 2-3,5 Printklemme";"";"";"";"";"";"unknown";"unknown";"";"";"";
"X7";"TERMINAL_2P_3,5MM_V2";"TERMINAL_2P_3,5MM_V2";"TERMINAL_2P_3,5MM_V2";"MKDS 1/ 2-3,5 Printklemme";"";"";"";"";"";"unknown";"unknown";"";"";"";
"X8";"";"TERMINAL-5MM-2POLE";"W237-132";"WAGO SREW CLAMP";"";"";"";"";"";"unknown";"unknown";"";"";"";
"X9";"TERMINAL_2P_3,5MM_V2";"TERMINAL_2P_3,5MM_V2";"TERMINAL_2P_3,5MM_V2";"MKDS 1/ 2-3,5 Printklemme";"";"";"";"";"";"unknown";"unknown";"";"";"";
"X10";"TERMINAL_2P_3,5MM_V2";"TERMINAL_2P_3,5MM_V2";"TERMINAL_2P_3,5MM_V2";"MKDS 1/ 2-3,5 Printklemme";"";"";"";"";"";"unknown";"unknown";"";"";"";
"X11";"TERMINAL_2P_3,5MM_V2";"TERMINAL_2P_3,5MM_V2";"TERMINAL_2P_3,5MM_V2";"MKDS 1/ 2-3,5 Printklemme";"";"";"";"";"";"unknown";"unknown";"";"";"";
"X12";"TERMINAL_2P_3,5MM_V2";"TERMINAL_2P_3,5MM_V2";"TERMINAL_2P_3,5MM_V2";"MKDS 1/ 2-3,5 Printklemme";"";"";"";"";"";"unknown";"unknown";"";"";"";
"X13";"TERMINAL_2P_3,5MM_V2";"TERMINAL_2P_3,5MM_V2";"TERMINAL_2P_3,5MM_V2";"MKDS 1/ 2-3,5 Printklemme";"";"";"";"";"";"unknown";"unknown";"";"";"";
"X14";"JST-XH-04";"JST-XH-04";"B4B-XH-A";"JST XH Connector 2 Pin";"";"";"";"";"";"";"";"";"";"";
